salary,company,job
10000-20000,中青健康产业发展有限公司,Python 工程师
15001-20000,北京世纪鹤图软件技术有限责任公司,Python工程师
15000-30000,南京果酱文化发展有限公司,工程师
18000-30000,北京邦利德网络科技有限公司,组组长
10000-20000,航天信息股份有限公司,数据规划师
10000-20000,北京航天金税技术有限公司,java高级开发工程师
8000-15000,北京顶派国际管理咨询有限公司,软件工程师
15000-25000,无讼网络科技(北京)有限公司,java数据抓取工程师
20001-30000,北京北大方正电子有限公司,大数据应用产品架构师J11282
3000-4000,北京兴科迪科技有限公司,大数据
18000-36000,旷视科技face++,工程师(000658)
15000-30000,阿博茨德(北京)科技有限公司,高级
30001-50000,北京思源互联科技有限公司,大数据开发专家J10590
10001-15000,北大方正集团,数据挖掘工程师（Python）J11555
8000-12000,北京开卷信息技术有限公司,.NET中级软件工程师
20000-30000,北京网络职业学院,python讲师
15001-20000,中网数据(北京)股份有限公司,工程师
15001-20000,西安润和软件信息技术有限公司,系统开发技术经理
15000-30000,北京文脉互动科技有限公司,Python 开发工程师
10001-15000,北京华宇元典信息服务有限公司,数据采集研发工程师
6001-8000,北京一路无忧国际商务有限公司,技术管培生
15001-20000,北京一路无忧国际商务有限公司,高级软件工程师
15001-20000,中望金服信息科技(北京)有限公司,工程师
20000-40000,凡普金科企业发展(上海)有限公司,工程师
15001-20000,湖南云隆信息科技有限公司,工程师
25000-50000,今日头条,广告
30001-50000,北京思源互联科技有限公司,大数据开发工程师J10590
20000-40000,搜狗公司,搜狗号码通-大数据工程师-北京-02809
20001-30000,一米信息服务(北京)有限公司,高级网络
25000-35000,北京众荟信息技术股份有限公司,高级
10000-20000,同源数智(北京)科技有限公司,数据爬取工程师
10001-15000,北京大可禾源科技有限公司,Java后台开发工程师
15000-30000,北京格灵深瞳信息技术有限公司,数据挖掘工程师
20001-30000,北京河狸家信息技术有限公司,JAVA工程师——搜索J10247
8000-16000,北京科思腾达科技有限公司,java 高级工程师
10001-15000,北京阿博泰克北大青鸟信息技术有限公司,Python
20001-30000,骑士联盟(北京)信息服务有限公司,工程师
15000-25000,北京智仁信业技术有限责任公司,开发工程师
6000-12000,北京羽乐创新科技有限公司,Python
25000-35000,北京纳网科技有限公司,工程师
13000-25000,马上消费金融股份有限公司,JAVA高级开发工程师(58pXKs)
20000-35000,同程网络科技股份有限公司,高级JAVA工程师
15000-30000,搜狗公司,个性化阅读-PHP高级开发工程师-北京-01959
15001-20000,中国信息通信研究院,高级java开发工程师
15001-20000,和信丰泽投资担保(北京)有限公司,java开发工程师
15000-30000,北京原始会投资管理有限公司,python
20001-30000,长治市非同汽车服务有限公司太原办事处,java
10001-15000,北京创客在线教育科技有限公司,python教学经理
2001-4000,北京鑫乐达投资管理有限公司,程序化交易
10001-15000,海口斑马互动网络科技有限公司,python开发工程师
30000-60000,北京微点世纪科技有限公司,技术总监
8001-10000,天津数信通信息科技有限公司,工程师
10001-15000,北京华胜云图科技有限公司,Java
10001-15000,北京中兴恒工程咨询有限公司,工程师
10000-20000,企家有道网络技术(北京)有限公司,Java
15001-20000,北京因果树网络科技有限公司,工程师
10000-15000,深圳市金蝶中间件有限公司,开发工程师
15000-25000,北京斯图飞腾科技有限公司,Python
8001-10000,北京金山云网络技术有限公司,销售数据分析专员(政企)
8000-12000,北京金山云网络技术有限公司,销售数据分析专员（政企）
20001-30000,马上消费金融股份有限公司,高级开发工程师（保险业务）
20001-30000,北京财经专修学院,大数据系统架构师
10001-15000,太极计算机股份有限公司,Java开发工程师
10000-20000,久远谦长(北京)技术服务有限公司,工程师
10001-15000,北京奥德塔数据科技有限公司,工程师
10001-15000,东华光普大数据技术有限公司,/数据抓取工程师
8000-15000,北京一路无忧国际商务有限公司,Python工程师
10001-15000,美通社,产品经理
10001-15000,北京锐驰信安技术有限公司,Python软件工程师
20001-30000,北京直客科技有限公司,java高级工程师
13000-17000,北京和川创新科技有限公司,大数据工程师
14000-17000,北京和川创新科技有限公司,java工程师大数据方向
10001-15000,北京人民在线网络有限公司,网络
8000-15000,博智时代科技(北京)有限公司,高级python
面议,京东金融,工程师（AI算法）(031287)
30001-50000,超对称(北京)科技有限公司,技术专家
10000-20000,北京凯峰数据科技有限公司,Python
25000-35000,北京网库信息技术股份有限公司,搜索引擎架构师
10001-15000,京东方科技集团,数据挖掘工程师J16114
20000-30000,携程计算机技术(上海)有限公司,高级python开发工程师
15001-20000,北京华清远见科技信息有限公司,python软件开发工程师
15001-20000,北京华清远见科技信息有限公司,python高级讲师—创客学院
15000-25000,北京奥索斯科技有限公司,大数据工程师
10000-18000,云蜂科技有限公司,网络
15001-20000,北京招通致晟软件技术有限公司,大数据
20000-40000,北京快乐茄信息技术有限公司,工程师
10000-20000,会找房(北京)网络技术有限公司,数据
10001-15000,北京卓越讯通科技有限公司,工程师
40000-60000,北京麦达数字技术服务有限公司,测试工程师
5000-8000,中青联盟大数据研究(北京)有限公司,可视化工程师
8000-15000,北京翡翠教育科技有限公司昌平分公司,python
15000-25000,浙江同牛网络科技有限公司,工程师
15000-30000,今日头条,数据抓取
15001-20000,东旭集团,开发工程师
20000-30000,博彦科技股份有限公司,高级
10001-15000,北京左岸时代传媒股份有限公司,高级
20001-30000,北京智分科技有限公司,Python
8000-15000,北京号外科技有限公司,python
2100-2500,中物协（北京）物流工程设计院,技术实习生
面议,北京三快在线科技有限公司,美团外卖-高级逆向工程师#2266
10000-20000,北京天行网安信息技术有限责任公司,搜索开发工程师
15000-30000,徐工集团工程机械股份有限公司,大数据分析师
8000-12000,开普云,售前咨询顾问
20000-35000,开普云,高级架构师
10000-20000,北京东方国信科技股份有限公司,JAVA高级开发工程师(YFZX)
8000-16000,大连火眼征信管理有限公司,工程师
10000-20000,北京从古未来科技有限公司,工程师
8000-12000,沈阳稻田科技有限公司,高级SEM优化师
10001-15000,北京互联直通网络科技有限公司,Python开发工程师
15000-25000,拍库(北京)科技有限公司,python 软件工程师
4001-6000,北京优克信息技术有限公司,实施工程师
15000-25000,国龙投资(北京)有限公司,大数据经理
20001-30000,Wisers Information Limited,高级java开发工程师
15001-20000,北京开卷信息技术有限公司,高级
15001-20000,北京世纪鹤图软件技术有限责任公司,网络
10000-20000,北京从古未来科技有限公司,工程师
面议,北京三快在线科技有限公司,数据产品经理（
13000-25000,超对称(北京)科技有限公司,工程师
15000-25000,北京智慧星光信息技术有限公司,Python
3000-6000,北京智慧星光信息技术有限公司,python
20000-30000,汽车之家,网络分析工程师
20001-30000,航天信息股份有限公司,数据采集部经理
30000-50000,北京京东世纪贸易有限公司,高级大数据挖掘/算法工程师
15001-20000,北京智慧星光信息技术有限公司,解决方案初级售前顾问
30001-50000,北京智慧星光信息技术有限公司,解决方案销售经理
8000-15000,北京拓尔思信息技术股份有限公司,java工程师（公安事业部）
20000-35000,北京诺信创联科技有限公司,高级JAVA工程师
